City name,Airport Code,Airport Name,Country name
108 Mile Ranch,ZMH,108 Mile Ranch International Airport,Canada
Aachen,AAH,Aachen/Merzbruck International Airport,Germany
Aachen,ZIU,Railway International Airport,Germany
Aalborg,AAL,Aalborg International Airport,Denmark
Aalesund,AES,Vigra International Airport,Norway
Aarhus,AAR,Tirstrup International Airport,Denmark
Aarhus Limo,ZBU,Aarhus Limo International Airport,Denmark
Aasiaat,JEG,Aasiaat International Airport,Greenland
Abadan,ABD,Abadan International Airport,Iran
Abaiang,ABF,Abaiang International Airport,Kiribati
Abakan,ABA,Abakan International Airport,Russian Federation
Abau,ABW,Abau International Airport,Papua New Guinea
Abbotsford,YXX,Abbotsford International Airport,Canada
Abbottabad,AAW,Mumbai International Airport,Pakistan
Abbse,EAB,Abbse International Airport,Yemen
Abecher,AEH,Abecher International Airport,Chad
Abemama Atoll,AEA,Abemama Atoll International Airport,Kiribati
Abengourou,OGO,Abengourou International Airport,Cote D'Ivoire (Ivory Coast)
Aberdeen,ABZ,Dyce International Airport,United Kingdom
Aberdeen,APG,Phillips AAF International Airport,United States
Aberdeen,ABR,Municipal International Airport,United States
Abha,AHB,Abha International Airport,Saudi Arabia
Abidjan,ABJ,Felix Houphouet Boigny International Airport,Cote D'Ivoire (Ivory Coast)
Abilene,DYS,Dyess AFB International Airport,United States
Abilene,ABI,Municipal International Airport,United States
Abingdon,ABB,RAF Station International Airport,United Kingdom
Abingdon,ABG,Abingdon International Airport,Australia
Abingdon,VJI,Virginia Highlands International Airport,United States
Aboisso,ABO,Aboisso International Airport,Cote D'Ivoire (Ivory Coast)
Abou Deia,AOD,Abou Deia International Airport,Chad
Abreojos,AJS,Abreojos International Airport,Mexico
Abu Dhabi,AUH,Abu Dhabi Intl,United Arab Emirates
Abu Dhabi,DHF,Al Dhafra Military Apt International Airport,United Arab Emirates
Abu Dhabi,AZI,Bateen International Airport,United Arab Emirates
Abu Musa,AEU,Abu Musa International Airport,Iran
Abu Rudeis,AUE,Abu Rudeis International Airport,Egypt
Abu Simbel,ABS,Abu Simbel International Airport,Egypt
Acandi,ACD,Acandi International Airport,Colombia
Acaricuara,ARF,Acaricuara International Airport,Colombia
Acarigua,AGV,Acarigua International Airport,Venezuela
Accra,ACC,Kotoka International Airport,Ghana
Achinsk,ACS,Achinsk International Airport,Russian Federation
Achutupo,ACU,Achutupo International Airport,Panama
Ada,ADT,Ada International Airport,United States
Adak Island,ADK,Adak Island NS International Airport,United States
Adana,ADA,Adana International Airport,Turkey
Adana,UAB,Adana-Incirlik Airbase International Airport,Turkey
Ad-Dabbah,AAD,Ad-Dabbah International Airport,Sudan
Addis Ababa,ADD,Bole International Airport,Ethiopia
Adelaide,ADL,Adelaide International Airport,Australia
Adelaide,XHX,Adelaide Keswick Rail International Airport,Australia
Adiyaman,ADF,Adiyaman International Airport,Turkey
Adler/Sochi,AER,Adler/Sochi International Airport,Russian Federation
Adrar,AZR,Adrar International Airport,Algeria
Adrian,ADG,Lenawee County International Airport,United States
Aek Godang,AEG,Aek Godang International Airport,Indonesia
Afore,AFR,Afore International Airport,Papua New Guinea
Afton,AFO,Municipal International Airport,United States
Afutara,AFT,Afutara Aerodrome International Airport,Solomon Islands
Afyon,AFY,Afyon International Airport,Turkey
Agades,AJY,Agades International Airport,Niger
Agadir,AGA,Agadir Almassira International Airport,Morocco
Agartala,IXA,Singerbhil International Airport,India
Agatti Island,AGX,Agatti Island International Airport,India
Agaun,AUP,Agaun International Airport,Papua New Guinea
Agen,AGF,La Garenne International Airport,France
Aggeneys,AGZ,Aggeneys International Airport,South Africa
Aghajari,AKW,Aghajari International Airport,Iran
Agnew,AGW,Agnew International Airport,Australia
Agra,AGR,Kheria International Airport,India
Agri,AJI,Ağri International Airport,Turkey
Agrinion,AGQ,Agrinion International Airport,Greece
Aguaclara,ACL,Aguaclara International Airport,Colombia
Aguadilla,BQN,Borinquen International Airport,Puerto Rico
Aguascalientes,AGU,Aguascalients International Airport,Mexico
Aguni,AGJ,Aguni International Airport,Japan
Ahe,AHE,Ahe Airport,French Polynesia
Ahmed Al Jaber,XIJ,Ahmed Al Jaber International Airport,Kuwait
Ahmedabad,AMD,Ahmedabad International Airport,India
Ahuas,AHS,Ahuas International Airport,Honduras
Ahwaz,AWZ,Ahwaz International Airport,Iran
Aiambak,AIH,Aiambak International Airport,Papua New Guinea
Aiken,AIK,Municipal International Airport,United States
Ailigandi,AIL,Ailigandi International Airport,Panama
Ailinglapalap Island,AIP,Ailinglapalap Island International Airport,Marshall Islands
Ailuk Island,AIM,Ailuk Island International Airport,Marshall Islands
